单词,词性,释义,遗忘次数,记忆次数
animus,n.,敌意,4,4
aberrant,adj.,不正常的,4,4
abet,v.,怂恿， 支持， 教唆（犯罪）,4,4
comb,v.,仔细检查， 仔细搜寻,1,1
confiscate,v.,没收,1,1
confine,v.,限制,1,1
asperity,n.,态度粗暴,3,4
ascetic,adj.,生活朴素的,3,4
adroit,adj.,灵巧的,3,4
channel,v.,指导，引导,2,4
assume,v.,假装,2,4
boisterous,adj.,吵闹的,2,4
bombard,v.,（如炸弹般）攻击（人或事物）,1,4
abuse,v.,滥用,1,4
authoritative,adj.,权威的， 可信的,1,4
accent,v.,发重音,0,4
aesthetic,adj.,美学的,0,4
adverse,adj.,不利的， 有害的,0,4
commonplace,n.,平庸， 普通,0,1
clownish,adj.,小丑般的， 滑稽的,0,1
complaint,n.,抱怨,0,1
electorate,n.,选举人,0,0
designate,adj.,指定的， 选定的,0,0
corollary,n.,推论， 结果,0,0
